,Unnamed: 0,job_id,mat,is_bpe,v_size,freq_cutoff,sim_cutoff,tkz_path,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
0,0,0,blosum62,False,800,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_800.json,0.055,0.53875,2.6425,0.6728742078758337,0.98625,0.97375,0.96375,1.873839411975792,0.5787120098294283,0.0268441415199399,0.0793855886572923
1,1,1,blosum62,True,6400,,,hf_uniref50_bpe_6400.json,0.0,0.0,3.42875,0.7106351694901317,0.99921875,0.9990625,0.99890625,2.4599185917099637,0.7113653472540921,0.0,0.0
2,2,2,blosum62,False,51200,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_51200.json,0.0769591282782323,0.911910015817532,4.097756253783515,1.1914676761359606,0.8490694995020407,0.5064344158253432,0.3305473647210451,2.983322195559885,0.948284279529386,0.1508886486941297,0.5348660851292656
3,3,3,blosum62,False,1600,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_1600.json,0.199375,0.410625,2.775625,0.5016853241602734,0.9975,0.996875,0.996875,2.0963392630165574,0.5936587836341026,0.0886968135631377,0.0693405022532998
4,4,4,blosum62,False,51200,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_51200.json,0.1915234375,0.75912109375,4.12919921875,1.39794982021433,0.90447265625,0.531484375,0.3341015625,3.015828483910348,0.9989079060953224,0.2339397906401456,0.3382775820076366
5,5,5,blosum62,True,3200,,,hf_uniref50_bpe_3200.json,0.0,0.0,3.0609375,0.6248769025384435,0.99875,0.9984375,0.9984375,2.2989570648979307,0.6232734642049922,0.0,0.0
6,6,6,blosum62,False,800,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_800.json,0.1375,0.365,2.5725,0.6226784166109673,0.995,0.99375,0.9925,1.894038283756733,0.5639798442405384,0.0494476195433216,0.0365096468721811
7,7,7,blosum62,True,12800,,,hf_uniref50_bpe_12800.json,0.0,0.0,3.71734375,1.186076662301126,0.997578125,0.99703125,0.9965625,2.6389626939480064,0.8290559352883544,0.0,0.0
8,8,8,blosum62,False,800,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
9,9,9,blosum62,False,1600,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_1600.json,0.128125,0.14125,2.771875,0.5037286704997316,0.9975,0.996875,0.996875,2.1204788723404198,0.584516896540125,0.03610988727257,0.0251520783781449
10,10,10,blosum62,False,800,0.05,0.9,hf_uniref50_mutbpe_0.9_3_12_0.05_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
11,11,11,blosum62,False,51200,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_51200.json,0.21396484375,0.305546875,4.2745703125,2.417909805762574,0.87826171875,0.53279296875,0.3337890625,3.035265721425741,1.1259828501186442,0.1439428652016493,0.0954659769239464
12,12,12,blosum62,False,51200,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_51200.json,0.0684268083112013,0.9218286205280424,4.103968129979691,1.1414710302732505,0.7985080456178723,0.4917200437431651,0.3296750507733166,2.9549698485220626,0.934515598334508,0.1461625798462235,0.5244526075342166
13,13,13,blosum62,False,1600,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_1600.json,0.180625,0.464375,2.794375,0.5371440092555948,0.9975,0.996875,0.996875,2.0797805549220887,0.6002670093089186,0.0861440936948738,0.0740723019680383
14,14,14,blosum62,False,800,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_800.json,0.065,0.52375,2.595,0.6135515927338,0.995,0.99375,0.99375,1.8948699511074811,0.5851038716915545,0.029997797233078,0.0879412727950405
15,15,15,blosum62,False,6400,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_6400.json,0.11046875,0.83140625,3.34625,0.6601545515104635,0.999375,0.99921875,0.97515625,2.4140432429967142,0.6812462601060049,0.1021756357901956,0.3020015840541026
16,16,16,blosum62,False,12800,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_12800.json,0.154453125,0.760703125,3.733515625,0.8516870742709859,0.9240625,0.843203125,0.769296875,2.550158588697752,0.7548431566107952,0.1661024986220453,0.2111540678997987
17,17,17,blosum62,False,25600,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_25600.json,0.0626953125,0.9215234375,4.042578125,1.013745713695509,0.8028125,0.646640625,0.5323046875,2.6977017820620337,0.8031294441421631,0.1246872789248857,0.4216316535302883
18,18,18,blosum62,False,12800,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_12800.json,0.155859375,0.75921875,3.71890625,0.8076430298426468,0.932265625,0.85,0.774296875,2.552426260879717,0.7558362063937568,0.1664635101614015,0.2118869282344165
19,19,19,blosum62,False,3200,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_3200.json,0.1203125,0.7675,3.023125,0.543306984033572,0.99875,0.9984375,0.9984375,2.254878911833073,0.6291040414942288,0.0837731338610667,0.2356975482326582
20,20,20,blosum62,False,3200,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_3200.json,0.1371875,0.7478125,3.009375,0.5238061195622894,0.99875,0.9984375,0.9984375,2.2663515377541112,0.62143798434895,0.0894911206866704,0.2326643758257486
21,21,21,blosum62,False,800,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_800.json,0.0825,0.09125,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.943525228359488,0.5625169128391304,0.017026392062836,0.0118428501969665
22,22,22,blosum62,False,12800,0.05,0.9,hf_uniref50_mutbpe_0.9_3_12_0.05_12800.json,0.196640625,0.27140625,3.72828125,1.2242491631836008,0.984375,0.9396875,0.894609375,2.613712651545634,0.8175169087910996,0.0916867475288076,0.0620435438305424
23,23,23,blosum62,False,51200,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_51200.json,0.0572036379249775,0.9340723681642532,4.22639447285218,1.1219859500624818,0.6990124516960069,0.4636402669893438,0.3279987509270463,2.9024803991727413,0.8984605355366244,0.1412900699418124,0.5039589965058611
24,24,24,blosum62,False,1600,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_1600.json,0.0825,0.696875,2.873125,0.5997937810092198,0.988125,0.966875,0.950625,2.041668823691226,0.6137971540948912,0.0512468432464645,0.1458389450576546
25,25,25,blosum62,False,800,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_800.json,0.135,0.36875,2.57,0.6169081938583423,0.98375,0.98,0.9775,1.891819216210478,0.5629449345175326,0.0489719884125364,0.0359475925419063
26,26,26,blosum62,False,6400,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_6400.json,0.12484375,0.81375,3.35375,0.65449627163873,0.999375,0.99921875,0.99890625,2.428654775420856,0.687757493125854,0.1079349383986807,0.2997727430147539
27,27,27,blosum62,False,51200,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_51200.json,0.05669921875,0.93458984375,4.2494140625,1.1650202829354808,0.69421875,0.46232421875,0.32748046875,2.8994363345865057,0.8984978331577314,0.1411027042101136,0.5026473088947272
28,28,28,blosum62,False,800,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_800.json,0.0625,0.5225,2.60125,0.6286831400739696,0.995,0.99375,0.99375,1.8902472229505567,0.5817030183711511,0.0291693674865625,0.0846541399884611
29,29,29,blosum62,False,3200,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_3200.json,0.18625,0.5690625,3.043125,0.6271069518852782,0.99875,0.998125,0.9946875,2.2528010683963893,0.6177557427346551,0.1173868560607526,0.1177013837794115
30,30,30,blosum62,False,25600,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_25600.json,0.063125,0.9210546875,4.0357421875,1.0026780792147667,0.8103515625,0.650703125,0.53375,2.700473905767365,0.8053606357439139,0.1247200804493701,0.422692771457122
31,31,31,blosum62,False,1600,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_1600.json,0.17625,0.480625,2.819375,0.5943234574771277,0.996875,0.989375,0.985625,2.0696594026133828,0.6008743751735522,0.0853836282050478,0.0722724674323387
32,32,32,blosum62,False,6400,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_6400.json,0.1746875,0.67203125,3.406875,0.7218702485401773,0.999375,0.975625,0.94125,2.4054621405629573,0.6884814788000762,0.1411765831472921,0.163487930682449
33,33,33,blosum62,False,3200,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_3200.json,0.135,0.1671875,3.0978125,0.791164218952312,0.9928125,0.986875,0.9821875,2.2882700351769043,0.6189722008577101,0.0513006518669656,0.0352192051086975
34,34,34,blosum62,False,12800,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_12800.json,0.196796875,0.285234375,3.746953125,1.1039205634240254,0.965078125,0.921640625,0.8790625,2.608379995491761,0.8022932405273655,0.0917162525783259,0.0616354296644002
35,35,35,blosum62,False,12800,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_12800.json,0.171953125,0.736015625,3.6659375,0.6648537656724861,0.999609375,0.9415625,0.848125,2.5825319870271835,0.7681522557074822,0.1685504330789312,0.2204865214724392
36,36,36,blosum62,False,25600,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_25600.json,0.081796875,0.9006640625,3.8678125,0.8933232269170669,0.988046875,0.7836328125,0.6035546875,2.777631436389893,0.8537003626957628,0.1347270624311945,0.4549538233706736
37,37,37,blosum62,False,6400,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_6400.json,0.1609375,0.18359375,3.42578125,0.6947603887478686,0.999375,0.99921875,0.99171875,2.450849475577383,0.7043922829519037,0.0669161132066944,0.0462728575017624
38,38,38,blosum62,False,3200,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_3200.json,0.1315625,0.1409375,3.060625,0.6350792459529756,0.99875,0.9984375,0.9984375,2.294707375862398,0.6217103202573376,0.0499171309683334,0.0350383541525785
39,39,39,blosum62,False,12800,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_12800.json,0.106796875,0.859609375,3.6371875,0.6124664445620748,0.999609375,0.997421875,0.91109375,2.6030760991400586,0.762385969361181,0.1249441880969667,0.3746433773816461
40,40,40,blosum62,False,25600,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_25600.json,0.1929296875,0.740078125,3.874609375,1.000634512821315,0.9986328125,0.833671875,0.6508984375,2.80030806655959,0.8728786875977186,0.2046830167234324,0.274618682199094
41,41,41,blosum62,False,12800,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_12800.json,0.197109375,0.2846875,3.74421875,1.0970049996848428,0.966015625,0.922421875,0.8796875,2.60860388232298,0.8022796552786075,0.0917365047774455,0.0616525103990794
42,42,42,blosum62,False,1600,0.05,0.9,hf_uniref50_mutbpe_0.9_3_12_0.05_1600.json,0.128125,0.14125,2.771875,0.5037286704997316,0.9975,0.996875,0.996875,2.1204788723404198,0.584516896540125,0.03610988727257,0.0251520783781449
43,43,43,blosum62,False,6400,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_6400.json,0.161875,0.21703125,3.4578125,0.8290899345366157,0.98828125,0.97265625,0.9575,2.442187408072723,0.701154588301678,0.0686823767083089,0.0465751256337152
44,44,44,blosum62,False,3200,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_3200.json,0.103125,0.7834375,3.0675,0.6304307661608555,0.99,0.9621875,0.943125,2.223197965161643,0.6270484188004821,0.0777358213003073,0.2213724748782813
45,45,45,blosum62,False,3200,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_3200.json,0.135,0.1540625,3.0615625,0.643060483713846,0.99875,0.9984375,0.9953125,2.2916367976057934,0.6201475453924089,0.0513051808565809,0.0352656375862422
46,46,46,blosum62,False,25600,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_25600.json,0.2136328125,0.2905078125,3.92578125,1.4443190225040794,0.9691015625,0.8715625,0.673359375,2.817580026226186,0.9215998569480128,0.1183276775663973,0.0797384818535141
47,47,47,blosum62,False,3200,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_3200.json,0.1821875,0.5803125,3.0896875,0.830652919352532,0.97875,0.965,0.9565625,2.243426990428317,0.6161306052983938,0.117437534418341,0.1152789701920816
48,48,48,blosum62,True,800,,,hf_uniref50_bpe_800.json,0.0,0.0,2.5225,0.6041108651744125,0.995,0.99375,0.99375,1.94728589244961,0.5655563080195889,0.0,0.0
49,49,49,blosum62,False,12800,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_12800.json,0.164765625,0.746171875,3.673359375,0.6888503818480135,0.991640625,0.906640625,0.8190625,2.570907432846511,0.7639196126572856,0.1670111209984055,0.2174675413862286
50,50,50,blosum62,False,12800,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_12800.json,0.1975,0.23703125,3.7159375,1.1449092338189442,0.99765625,0.979140625,0.931484375,2.624510890362812,0.8219000085522962,0.0895480179746086,0.0617786426138484
51,51,51,blosum62,False,800,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_800.json,0.16125,0.2875,2.53875,0.5885842988443181,0.995,0.99375,0.99375,1.91935073764474,0.5652627929339591,0.0535458572811995,0.0343207952393349
52,52,52,blosum62,False,6400,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_6400.json,0.16703125,0.6865625,3.498125,0.9760355194400592,0.94390625,0.9075,0.87734375,2.388205281205771,0.6786066835877625,0.1407554072386663,0.1579219381864561
53,53,53,blosum62,False,1600,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_1600.json,0.0975,0.67875,2.835625,0.5884915554358126,0.9975,0.996875,0.996875,2.06777231717911,0.6180743997964057,0.0555876067826897,0.1554504557759265
54,54,54,blosum62,False,6400,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_6400.json,0.16359375,0.20140625,3.42859375,0.7103995367102144,0.999375,0.9909375,0.97625,2.446694341775093,0.7030318137641568,0.0688022702745382,0.0467259913236887
55,55,55,blosum62,False,6400,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_6400.json,0.0953125,0.846875,3.4328125,0.9243210129886434,0.95625,0.8990625,0.8584375,2.3753024830341105,0.6702586855374998,0.0960085981406338,0.2854146170108513
56,56,56,blosum62,False,25600,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_25600.json,0.074140625,0.90859375,3.887265625,0.791637821727021,0.938046875,0.736171875,0.5803125,2.7514444354352907,0.8330147173180675,0.1299557877153719,0.443988487296181
57,57,57,blosum62,False,3200,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_3200.json,0.210625,0.5134375,3.0490625,0.5888664829660988,0.99875,0.9984375,0.9984375,2.271879297652712,0.6210349890071293,0.1199667180121662,0.1114156951291053
58,58,58,blosum62,False,12800,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_12800.json,0.07453125,0.895078125,3.833203125,1.1431246721531476,0.88015625,0.78265625,0.7084375,2.521507936308947,0.7384206209747796,0.1094693681062882,0.3468269693869108
59,59,59,blosum62,False,25600,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_25600.json,0.1483203125,0.802421875,3.953515625,1.0478359685331642,0.8649609375,0.7125390625,0.5821875,2.7358087714588595,0.857372378544673,0.1960352959462535,0.2704105927902264
60,60,60,blosum62,False,25600,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_25600.json,0.1491015625,0.8015625,3.9463671875,1.0320721594158986,0.868515625,0.7145703125,0.5835546875,2.737196804180595,0.857560986940806,0.196376743461016,0.2708303538511405
61,61,61,blosum62,True,1600,,,hf_uniref50_bpe_1600.json,0.0,0.0,2.77125,0.5040657089103682,0.9975,0.996875,0.996875,2.125304531942497,0.5844836090530074,0.0,0.0
62,62,62,blosum62,False,800,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_800.json,0.14,0.3525,2.55875,0.6016651383230889,0.995,0.99375,0.99375,1.9005769440733715,0.5659591465783983,0.0501680974658631,0.0375489115649355
63,63,63,blosum62,False,6400,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_6400.json,0.1996875,0.6290625,3.4040625,0.668900894589258,0.999375,0.9990625,0.99671875,2.427756687161574,0.697069901792053,0.1445205320870405,0.158226732055197
64,64,64,blosum62,False,6400,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_6400.json,0.17984375,0.6628125,3.39890625,0.698332837516202,0.999375,0.99578125,0.9646875,2.4126099063348097,0.6908571800766755,0.1420203791795812,0.1649365969448241
65,65,65,blosum62,False,3200,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_3200.json,0.135,0.1659375,3.0946875,0.7796067667041128,0.9940625,0.988125,0.9834375,2.2885893398445,0.6190432410995639,0.0513078103479753,0.0352237058307245
66,66,66,blosum62,False,25600,0.05,0.9,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,0.2148046875,0.3077734375,3.9358984375,1.446330232312628,0.94921875,0.8539453125,0.6728125,2.8110468348014988,0.918616095998121,0.118797587052853,0.0796089855714359
67,67,67,blosum62,False,6400,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,0.161875,0.21546875,3.45328125,0.8109300892107997,0.99,0.974375,0.95921875,2.44263255396994,0.7013629394499442,0.0686848491138044,0.0465911223671921
68,68,68,blosum62,False,3200,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_3200.json,0.19,0.560625,3.036875,0.6072523943629359,0.99875,0.9984375,0.9984375,2.25738637146246,0.6178445507669311,0.1180972592431991,0.1182093892282773
69,69,69,blosum62,False,51200,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_51200.json,0.0958936207603538,0.8886220295628063,4.097358092671783,1.246886089008577,0.9156854704860096,0.5269169937320602,0.3317126510846855,3.0131530528892183,0.9659720522098152,0.1601294986014837,0.5359098227347618
70,70,70,blosum62,False,51200,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_51200.json,0.217495752036093,0.3544071404855374,4.277240678892991,1.883634123442852,0.8278744555770395,0.532391945469815,0.3338020741782387,3.013784312304563,1.0642805435196334,0.1466254220674316,0.0949751840423775
71,71,71,blosum62,False,800,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
72,72,72,blosum62,False,1600,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_1600.json,0.103125,0.675,2.82875,0.5686611884215509,0.9975,0.996875,0.996875,2.07606755738786,0.6216267740251767,0.0573907689235715,0.1598495730370985
73,73,73,blosum62,False,51200,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_51200.json,0.2175,0.3548828125,4.2790625,1.8871601327569731,0.82734375,0.5325390625,0.33376953125,3.013529806599523,1.0643455963019666,0.1466202588334515,0.0949581741094632
74,74,74,blosum62,False,51200,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_51200.json,0.1656674152914754,0.7953324870618104,4.117000292940142,1.2411710796159416,0.8496435894932135,0.5324675324675324,0.3340884679230544,2.9888871116865405,0.9764944264390768,0.228336068483772,0.3471652962094976
75,75,75,blosum62,False,51200,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_51200.json,0.1556940023045524,0.8102064332168037,4.122121750678671,1.218304439079628,0.8105384450129876,0.5201062437747789,0.3341405777005253,2.969483406135691,0.9635247909936632,0.2271433568038507,0.3425945734975437
76,76,76,blosum62,False,3200,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_3200.json,0.10125,0.7853125,3.0975,0.7483607176196174,0.9615625,0.93125,0.9146875,2.217198826228553,0.6243154399246396,0.077315409688605,0.2187952147227705
77,77,77,blosum62,False,51200,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_51200.json,0.2027734375,0.26177734375,4.291953125,2.5778372185300555,0.915859375,0.53310546875,0.33373046875,3.049259802627816,1.1566118219443584,0.1378056419419681,0.0938922949598495
78,78,78,blosum62,False,1600,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_1600.json,0.120625,0.654375,2.7925,0.5131845174672606,0.9975,0.996875,0.996875,2.090515415583099,0.6097889141796464,0.0631213989275171,0.1596917232981706
79,79,79,blosum62,False,800,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_800.json,0.0575,0.535,2.635,0.66507737135416,0.995,0.99125,0.98625,1.8794259886790643,0.5802164808785777,0.0275984754555064,0.0816007445355028
80,80,80,blosum62,True,25600,,,hf_uniref50_bpe_25600.json,0.0,0.0,3.935,1.5175811223742983,0.9956640625,0.99359375,0.6744921875,2.844670567403425,0.9389069423435866,0.0,0.0
81,81,81,blosum62,False,6400,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_6400.json,0.0915625,0.85078125,3.564375,1.206035085817639,0.9121875,0.85703125,0.82140625,2.3639410860104544,0.6678228473776027,0.0947202574882692,0.2805484447138842
82,82,82,blosum62,False,800,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
83,83,83,blosum62,False,12800,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_12800.json,0.19359375,0.701796875,3.6634375,0.6302582540779187,0.999609375,0.98578125,0.89984375,2.601677237840896,0.7724510451920285,0.1726681044827666,0.2130520321901163
84,84,84,blosum62,False,25600,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_25600.json,0.0981640625,0.88140625,3.8641015625,1.0022477440670152,0.9987109375,0.8405078125,0.6327734375,2.80196210189526,0.8632450508408841,0.143254764997861,0.4562547981782689
85,85,85,blosum62,False,25600,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_25600.json,0.21578125,0.3274609375,3.962109375,1.483469418174428,0.9234375,0.8330859375,0.6726171875,2.8024138965741785,0.9150210915164014,0.1192835473498069,0.079045942388764
86,86,86,blosum62,False,25600,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_25600.json,0.2155078125,0.32765625,3.963984375,1.48767077220982,0.92265625,0.833046875,0.6725390625,2.802222939649985,0.9149505279006306,0.1192747860772686,0.079016998436196
87,87,87,blosum62,False,12800,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_12800.json,0.090703125,0.878671875,3.648046875,0.6609585864324242,0.99953125,0.943984375,0.839453125,2.5808275309720754,0.7574721649615155,0.1170320839053457,0.3731623134230426
88,88,88,blosum62,False,25600,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_25600.json,0.170703125,0.7719921875,3.87359375,0.9003853356678194,0.97875,0.78921875,0.62390625,2.778477321521322,0.8665276860779985,0.1999179200519203,0.2824032446193429
89,89,89,blosum62,False,12800,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_12800.json,0.084140625,0.88453125,3.650234375,0.6734677548709558,0.995,0.894140625,0.795859375,2.561245933104084,0.7517888551745484,0.1132965863252741,0.3641155800098283
90,90,90,blosum62,False,6400,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,0.16984375,0.68359375,3.47265625,0.9022566249728464,0.95671875,0.91890625,0.88796875,2.3913639964327755,0.680238627719308,0.1413484052277931,0.1588784319430662
91,91,91,blosum62,False,25600,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_25600.json,0.210546875,0.2601171875,3.9194921875,1.4114081160220626,0.9917578125,0.900546875,0.6737890625,2.827005228667475,0.9240564110768682,0.1149814911994553,0.0789057172394997
92,92,92,blosum62,False,800,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_800.json,0.08125,0.50125,2.5675,0.5838405923680031,0.995,0.99375,0.99375,1.909977722463295,0.5804870995274484,0.0346695136148847,0.0887873702958925
93,93,93,blosum62,False,25600,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_25600.json,0.16171875,0.785078125,3.88796875,0.9338588973364124,0.9429296875,0.760390625,0.6081640625,2.7634498961438974,0.8627934877842381,0.1980722608655466,0.2787756345963851
94,94,94,blosum62,False,1600,0.05,0.8,hf_uniref50_mutbpe_0.8_3_12_0.05_1600.json,0.17875,0.47125,2.803125,0.5484553185062103,0.9975,0.996875,0.996875,2.0755475570747,0.6006998496175041,0.085718102456312,0.0733749088397702
95,95,95,blosum62,True,51200,,,hf_uniref50_bpe_51200.json,0.0,0.0,4.40966796875,3.402968013329184,0.97337890625,0.5308203125,0.33314453125,3.0705190603194903,1.2895414592777286,0.0,0.0
96,96,96,blosum62,False,3200,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_3200.json,0.184375,0.5784375,3.074375,0.7629877334124829,0.98875,0.974375,0.96625,2.245432419971252,0.6165652859613814,0.1178030351852571,0.1158711956792559
97,97,97,blosum62,False,12800,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_12800.json,0.197890625,0.259609375,3.720546875,1.2076855019308426,0.996328125,0.955546875,0.9084375,2.6179796938758004,0.8188908545389947,0.0917163295624439,0.0622754668154433
98,98,98,blosum62,False,51200,0,0.8,hf_uniref50_mutbpe_0.8_3_12_0_51200.json,0.1440345292268031,0.8261820596449427,4.1771185282112375,1.2922044850968772,0.7549167040993692,0.5018455949846689,0.3336132648477628,2.9405603444208444,0.9531713870189272,0.2264292201102836,0.3343734645073511
